api_file,connection_symbol,table
api/adl/AdlQueryHelper.php,,dbo.adl_flight_aircraft
api/adl/AdlQueryHelper.php,,dbo.adl_flight_core
api/adl/AdlQueryHelper.php,,dbo.adl_flight_plan
api/adl/AdlQueryHelper.php,,dbo.adl_flight_position
api/adl/AdlQueryHelper.php,,dbo.adl_flight_times
api/adl/AdlQueryHelper.php,,dbo.adl_flight_tmi
api/adl/AdlQueryHelper.php,,dbo.apts
api/adl/AdlQueryHelper.php,,dbo.ntml
api/adl/AdlQueryHelper.php,,dbo.vw_adl_flights
api/adl/airway.php,get_conn_gis,dbo.airway_segments
api/adl/airway.php,get_conn_gis,dbo.airways
api/adl/airway.php,get_conn_ref,dbo.airway_segments
api/adl/airway.php,get_conn_ref,dbo.airways
api/adl/atis-debug.php,,dbo.vatsim_atis
api/adl/boundaries.php,,adl_boundary
api/adl/boundaries.php,,adl_flight_core
api/adl/boundaries.php,,boundary_hierarchy
api/adl/cleanup-queue.php,,dbo.adl_flight_core
api/adl/cleanup-queue.php,,dbo.adl_parse_queue
api/adl/demand/airway.php,,dbo.fn_AirwaySegmentDemand
api/adl/demand/batch.php,,dbo.adl_flight_core
api/adl/demand/batch.php,,dbo.adl_flight_plan
api/adl/demand/batch.php,,dbo.adl_flight_times
api/adl/demand/batch.php,,dbo.adl_flight_waypoints
api/adl/demand/batch.php,,dbo.airway_segments
api/adl/demand/batch.php,,dbo.fn_AirwayDemandBucketed
api/adl/demand/batch.php,,dbo.fn_AirwaySegmentDemandBucketed
api/adl/demand/batch.php,,dbo.fn_BatchDemandBucketed
api/adl/demand/batch.php,,dbo.fn_ViaDemandBucketed
api/adl/demand/batch.php,,dbo.nav_fixes
api/adl/demand/debug.php,,dbo.adl_flight_core
api/adl/demand/debug.php,,dbo.adl_flight_plan
api/adl/demand/debug.php,,dbo.adl_flight_waypoints
api/adl/demand/details.php,,dbo.adl_flight_core
api/adl/demand/details.php,,dbo.adl_flight_plan
api/adl/demand/details.php,,dbo.adl_flight_waypoints
api/adl/demand/fix.php,,dbo.fn_FixDemand
api/adl/demand/monitors.php,,dbo.demand_monitors
api/adl/demand/segment.php,,dbo.fn_RouteSegmentDemand
api/adl/diagnose.php,,dbo.adl_flight_aircraft
api/adl/diagnose.php,,dbo.adl_flight_core
api/adl/diagnose.php,,dbo.adl_flight_plan
api/adl/diagnose.php,,dbo.adl_flight_position
api/adl/diagnose.php,,dbo.adl_flight_times
api/adl/diagnose.php,,dbo.adl_flight_waypoints
api/adl/diagnose.php,,dbo.vatsim_atis
api/adl/diagnostic.php,,dbo.adl_parse_queue
api/adl/diagnostic.php,,dbo.adl_run_log
api/adl/diagnostic.php,,dbo.vatsim_atis
api/adl/diagnostic.php,,dbo.vw_adl_flights
api/adl/import_boundaries.php,,adl_boundary
api/adl/import_boundaries.php,,adl_boundary_import_log
api/adl/import_boundaries.php,,boundary_hierarchy
api/adl/snapshot_history.php,,dbo.adl_flights_history
api/adl/snapshot_history.php,,dbo.vw_adl_flights
api/adl/timing-analysis.php,,dbo.adl_flight_core
api/adl/timing-analysis.php,,dbo.adl_flight_plan
api/adl/timing-analysis.php,,dbo.adl_flight_times
api/adl/waypoints.php,,dbo.adl_flight_core
api/adl/waypoints.php,,dbo.adl_flight_plan
api/adl/waypoints.php,,dbo.adl_flight_position
api/adl/waypoints.php,,dbo.adl_flight_waypoints
